date,state,positive,negative,pending,hospitalized,death,total,hash,datechecked,totaltestresults,fips,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease
2020-03-27,OK,322.0,1084.0,0.0,105.0,8.0,1406,900fbe870a20e7992a71c1ec9d8527c140fd9e28,2020-03-27 20:00:00,1406,40,1,19,126,74,200
2020-03-27,OR,414.0,8510.0,0.0,102.0,12.0,8924,0b7d00e5ee9f4f5caa2694a35e0b787a9a3d6d76,2020-03-27 20:00:00,8924,41,1,12,1557,87,1644
2020-03-27,PA,2218.0,21016.0,0.0,551.0,22.0,23234,ca765213011791d9ee3ecfb2abbcba1cbb7ce4e0,2020-03-27 20:00:00,23234,42,6,551,4575,531,5106
2020-03-27,PR,79.0,519.0,334.0,0.0,3.0,932,e24ff31107a50572d23df58122885770c0140e34,2020-03-27 20:00:00,598,72,1,0,142,15,157
2020-03-27,RI,165.0,1366.0,138.0,23.0,0.0,1669,5b4e302b5d340d03e592767e998b27ef7f003f80,2020-03-27 20:00:00,1531,44,0,0,27,0,27
2020-03-27,SC,456.0,2307.0,0.0,109.0,9.0,2763,0cd8826e56fb3a4b91a7cd26668be0e064504067,2020-03-27 20:00:00,2763,45,0,0,0,0,0
2020-03-27,SD,58.0,2387.0,20.0,0.0,1.0,2465,8954a7676c73679458bbd452884b2ea11f63fe71,2020-03-27 20:00:00,2445,46,0,0,414,12,426
2020-03-27,TN,1203.0,14888.0,0.0,103.0,6.0,16091,57a212977797119fa0ef4876f9ca783b3c8cba63,2020-03-27 20:00:00,16091,47,3,27,936,246,1182
2020-03-27,TX,1731.0,21935.0,0.0,0.0,23.0,23666,4f9689bbee1981b2c94c62ca7394e4db47ba2aef,2020-03-27 20:00:00,23666,48,5,0,1907,335,2242
2020-03-27,UT,480.0,8764.0,0.0,0.0,2.0,9244,063e28b939df0d8faeaafb11a4197d98ceb84752,2020-03-27 20:00:00,9244,49,1,0,1456,78,1534
2020-03-27,VA,604.0,6733.0,0.0,83.0,14.0,7337,1f6f2375fe66673e5103abb455c3fdc1de06ac33,2020-03-27 20:00:00,7337,51,1,18,1004,144,1148
2020-03-27,VI,19.0,55.0,2.0,0.0,0.0,76,646672fa7b2d8ba43491061d09664e33f4c3f29a,2020-03-27 20:00:00,74,78,0,0,0,2,2
2020-03-27,VT,184.0,2077.0,0.0,18.0,10.0,2261,d349c5c20ac8534547e25aa173f0db65ffcca069,2020-03-27 20:00:00,2261,50,1,18,227,26,253
2020-03-27,WA,3207.0,43173.0,0.0,0.0,147.0,46380,3b14410e3c31a72e1e3eff10b17679a1c946d360,2020-03-27 20:00:00,46380,53,15,0,11461,627,12088
2020-03-27,WI,842.0,13140.0,0.0,0.0,13.0,13982,103b3236af903a8860fd6b98a2289d74ecd89e76,2020-03-27 20:00:00,13982,55,5,0,1557,135,1692
2020-03-27,WV,76.0,1779.0,43.0,1.0,0.0,1898,aa9a6ceb818075a98206986c7816d184d527ac5d,2020-03-27 20:00:00,1855,54,0,0,748,25,773
2020-03-27,WY,70.0,1211.0,0.0,11.0,0.0,1281,520b116fbe1bb79a5347ba8191856d0f0158375b,2020-03-27 20:00:00,1281,56,0,11,159,17,176
